country_name,time,val,value
Malaysia,1/1/2017,0,0
Thailand,1/1/2017,0,0
Singapura,1/1/2017,0,0
Vietnam,1/1/2017,0,0
Philipina,1/1/2017,0,0
ASEAN Lainnya,1/1/2017,0,0
Jepang,1/1/2017,0,0
Korea Selatan,1/1/2017,0,0
Tiongkok,1/1/2017,2.84,2.84
Hongkong,1/1/2017,0,0
Taiwan,1/1/2017,0,0
Uni Emirat Arab,1/1/2017,0,0
Asia Lainnya,1/1/2017,0,0
Australia,1/1/2017,0,0
Meksiko,1/1/2017,0,0
Belanda,1/1/2017,0,0
Amerika Serikat,1/1/2017,0,0
Italia,1/1/2017,0,0
Jerman,1/1/2017,0,0
Perancis,1/1/2017,0,0
Finlandia,1/1/2017,0,0
Lainnya,1/1/2017,0,0
Malaysia,2/1/2017,0,0
Thailand,2/1/2017,0,0
Singapura,2/1/2017,0,0
Vietnam,2/1/2017,0,0
Philipina,2/1/2017,0,0
ASEAN Lainnya,2/1/2017,0,0
Jepang,2/1/2017,0,0
Korea Selatan,2/1/2017,0,0
Tiongkok,2/1/2017,0,2.84
Hongkong,2/1/2017,0,0
Taiwan,2/1/2017,0,0
Uni Emirat Arab,2/1/2017,0,0
Asia Lainnya,2/1/2017,0,0
Australia,2/1/2017,0,0
Meksiko,2/1/2017,0,0
Belanda,2/1/2017,0,0
Amerika Serikat,2/1/2017,0,0
Italia,2/1/2017,0,0
Jerman,2/1/2017,0,0
Perancis,2/1/2017,0,0
Finlandia,2/1/2017,0,0
Lainnya,2/1/2017,0,0
Malaysia,3/1/2017,0,0
Thailand,3/1/2017,0,0
Singapura,3/1/2017,0,0
Vietnam,3/1/2017,0,0
Philipina,3/1/2017,0,0
ASEAN Lainnya,3/1/2017,0,0
Jepang,3/1/2017,0,0
Korea Selatan,3/1/2017,0,0
Tiongkok,3/1/2017,0,2.84
Hongkong,3/1/2017,0,0
Taiwan,3/1/2017,0,0
Uni Emirat Arab,3/1/2017,0,0
Asia Lainnya,3/1/2017,0,0
Australia,3/1/2017,0,0
Meksiko,3/1/2017,0,0
Belanda,3/1/2017,0,0
