tanggal,harga,,,
6/15/2021,5175,,,
6/16/2021,5200,,,
6/17/2021,5075,,,
6/18/2021,4900,,,
6/21/2021,5100,,,
6/22/2021,5050,,,
6/23/2021,4990,,,
6/24/2021,4960,,,
6/25/2021,5000,,,
6/28/2021,5025,,stdeviasi,286.3541347
6/29/2021,5000,,rata-rata,5238.095238
6/30/2021,4950,,CV,0.054667608
7/1/2021,5225,,,
7/2/2021,5150,,,
7/5/2021,4950,,,
7/6/2021,5000,,,
7/7/2021,4930,,,
7/8/2021,4860,,,
7/9/2021,4890,,,
7/12/2021,5025,,,
7/13/2021,5100,,,
7/14/2021,5100,,,
7/15/2021,5150,,,
7/16/2021,5150,,,
7/19/2021,5075,,,
7/21/2021,5125,,,
7/22/2021,5025,,,
7/23/2021,4800,,,
7/26/2021,4700,,,
7/27/2021,4500,,,
7/28/2021,4450,,stdeviasi,291.5067589
7/29/2021,4330,,rata-rata,4893.095238
7/30/2021,4220,,CV,0.059575125
8/2/2021,4400,,,
8/3/2021,4380,,,
8/4/2021,4330,,,
8/5/2021,4440,,,
8/6/2021,4420,,,
8/9/2021,4310,,,
8/10/2021,4250,,,
8/12/2021,4210,,,
8/13/2021,4250,,,
8/16/2021,4150,,,
8/18/2021,4230,,,
8/19/2021,4110,,,
8/20/2021,4070,,,
8/23/2021,4060,,,
8/24/2021,4080,,,
8/25/2021,4170,,,
8/26/2021,4090,,,
8/27/2021,4030,,stdeviasi,134.3444121
8/30/2021,4130,,rata-rata,4208
8/31/2021,4050,,CV,0.031925953
